us,red,ir,ratio,adcAvg,ratioSlope,AI
287934566,209,321,0.6511,1249,-0.0004,50
287990565,208,318,0.6541,1229,-0.0004,55
288044593,208,330,0.6303,1243,0.0003,55
288098596,210,327,0.6422,1246,0.0003,55
288155563,208,323,0.644,1232,0.0004,55
288209563,205,328,0.625,1233,0.0003,55
288263563,210,337,0.6231,1251,0.0001,55
288317566,198,315,0.6286,1255,0.0001,55
288371566,210,320,0.6562,1237,0.0002,55
288425565,206,326,0.6319,1234,-0.0001,55
288481593,211,340,0.6206,1258,-0.0003,50
288535566,213,325,0.6554,1249,-0.0007,45
288589566,207,319,0.6489,1229,-0.001,45
288643564,209,330,0.6333,1235,-0.0006,45
288698567,212,336,0.631,1251,-0.0006,40
288754401,212,320,0.6625,1230,-0.0009,40
288808593,207,323,0.6409,1224,-0.001,40
288862566,210,329,0.6383,1244,-0.0009,35
288916565,93,324,0.287,1245,0.0005,40
288970593,209,317,0.6593,1237,0.0004,35
289024596,210,325,0.6462,1229,0.0004,35
289080596,210,340,0.6176,1252,0.0004,35
289134567,209,327,0.6391,1252,0.0004,35
289188565,209,319,0.6552,1234,0.0004,30
289242567,207,328,0.6311,1233,0.0004,30
289296567,209,324,0.6451,1224,0.0005,35
289350597,210,329,0.6383,1252,0.0006,30
289406595,209,315,0.6635,1229,0.001,30
289460597,205,328,0.625,1237,0.0006,35
289516565,210,332,0.6325,1253,0.0006,35
289571565,213,317,0.6719,1236,0.0014,40
289625597,209,326,0.6411,1231,0.0016,45
289681565,207,334,0.6198,1253,0.0019,45
289735567,212,320,0.6625,1240,0.0016,45
289789597,209,322,0.6491,1232,0.0014,45
289845565,207,338,0.6124,1247,0.0018,45
289899598,211,333,0.6336,1257,0.0019,50
289953598,206,323,0.6378,1243,0.0019,50
290009566,209,329,0.6353,1236,0.0006,50
290063596,208,339,0.6136,1253,0.0007,50
290119567,211,326,0.6472,1245,0.0007,50
290173598,210,324,0.6481,1232,0.0007,50
290227596,210,333,0.6306,1240,0.0007,50
290283565,210,335,0.6269,1255,0.0006,50
290337598,210,320,0.6562,1238,0.0007,45
290391595,209,327,0.6391,1232,0.0007,45
290445573,211,338,0.6243,1247,0.0006,45
290500565,210,328,0.6402,1255,0.0003,45
290554598,210,317,0.6625,1232,0.0008,45
290614565,202,339,0.5959,1255,0.0003,45
290668598,207,327,0.633,1251,-0.0003,45
290722595,211,325,0.6492,1236,-0.0004,45
290776573,206,334,0.6168,1238,-0.0003,45
290830565,210,337,0.6231,1251,0.0001,50
290887566,210,318,0.6604,1238,0,50
290941566,209,325,0.6431,1231,-0.0003,45
290996566,214,341,0.6276,1249,-0.0002,45
291050566,211,330,0.6394,1254,-0.0002,45
291104566,209,319,0.6552,1238,-0.0003,50
291159595,209,326,0.6411,1233,-0.0004,50
291215565,212,335,0.6328,1255,-0.0004,45
291269565,210,319,0.6583,1237,-0.0004,45
291323565,210,325,0.6462,1234,-0.0003,45
291378697,211,333,0.6336,1238,-0.0003,45
291432574,212,335,0.6328,1256,-0.0004,45
291489376,209,319,0.6552,1237,-0.0003,45
291543566,209,332,0.6295,1238,-0.0003,45
291598566,208,337,0.6172,1253,-0.0005,40
291652565,210,323,0.6502,1244,-0.0006,40
291706565,209,322,0.6491,1231,0.0001,35
291761565,210,334,0.6287,1242,0,35
291817575,209,331,0.6314,1253,0.0002,35
291872566,208,316,0.6582,1231,-0.0003,35
291926566,211,334,0.6317,1234,-0.0004,35
291980566,210,336,0.625,1251,0,35
292034566,211,326,0.6472,1253,-0.0001,35
292088566,210,317,0.6625,1228,-0.0003,35
292145567,210,338,0.6213,1248,-0.0002,35
292200573,208,332,0.6265,1256,-0.0001,40
292254565,209,321,0.6511,1241,-0.0001,40
292308565,207,329,0.6292,1232,-0.0001,40
292363566,209,339,0.6165,1250,-0.0002,40
292419566,209,324,0.6451,1243,-0.0002,40
292475566,208,321,0.648,1231,-0.0001,45
292529566,212,336,0.631,1247,-0.0001,45
