us,red,ir,ratio,adcAvg,ratioSlope,AI
529795559,139,317,0.4385,1236,-0.008,45
529851559,135,299,0.4515,1220,-0.0078,45
529906311,138,306,0.451,1214,-0.0076,40
529960569,139,318,0.4371,1230,-0.0077,45
530014569,138,305,0.4525,1233,-0.0075,45
530069561,140,299,0.4682,1210,0.0006,45
530125361,138,313,0.4409,1223,0.0006,45
530180559,138,315,0.4381,1236,0.0008,50
530234559,140,302,0.4636,1223,0.0005,50
530289559,136,308,0.4416,1214,0.0004,50
530343559,139,318,0.4371,1231,0.0006,45
530397561,136,314,0.4331,1236,0.0005,45
530454561,134,295,0.4542,1215,0.0003,45
530508561,141,318,0.4434,1224,0.0003,45
530562561,140,314,0.4459,1234,0.0003,45
530616561,140,305,0.459,1226,0.0003,50
530670746,138,305,0.4525,1214,0.0003,45
530724625,138,311,0.4437,1217,0.0002,45
530781567,139,312,0.4455,1234,0.0002,45
530835559,138,301,0.4585,1216,0.0003,45
530889561,140,304,0.4605,1205,0.0005,45
530944561,138,317,0.4353,1230,0.0003,50
530998650,138,309,0.4466,1232,0.0003,50
531055561,138,299,0.4615,1213,0.0005,50
531109561,137,315,0.4349,1225,0.0003,50
531164559,141,312,0.4519,1234,0.0001,50
531218559,137,299,0.4582,1218,0.0004,55
531272559,140,309,0.4531,1214,0.0002,55
531326559,140,319,0.4389,1229,0.0005,55
531383326,141,306,0.4608,1226,0.0003,55
531437619,140,306,0.4575,1215,0.0001,55
531491569,138,311,0.4437,1219,0,55
531546569,140,313,0.4473,1234,0,55
531600569,141,305,0.4623,1227,-0.0001,55
531656559,138,301,0.4585,1213,-0.0001,55
531710830,140,310,0.4516,1217,-0.0001,55
531764559,140,308,0.4545,1231,-0.0001,55
531819559,134,296,0.4527,1214,-0.0001,50
531873561,139,306,0.4542,1213,-0.0001,55
531928561,142,318,0.4465,1229,-0.0001,50
531984561,141,300,0.47,1218,-0.0001,50
532038561,139,304,0.4572,1211,0.0001,45
532092561,138,315,0.4381,1225,0,45
532147322,141,312,0.4519,1233,-0.0001,45
532201567,142,302,0.4702,1218,0.0003,45
532257567,140,311,0.4502,1219,0.0003,45
532311559,142,317,0.4479,1232,0.0001,40
532365559,141,304,0.4638,1230,0,40
532420561,140,301,0.4651,1214,-0.0003,40
532474561,138,311,0.4437,1218,-0.0002,45
532528561,140,308,0.4545,1223,-0.0001,45
532584561,140,300,0.4667,1218,-0.0003,45
532638559,139,306,0.4542,1211,-0.0004,45
532693559,142,319,0.4451,1228,-0.0003,45
532747559,140,310,0.4516,1232,-0.0002,50
532801559,142,298,0.4765,1217,-0.0003,45
532857361,135,305,0.4426,1213,-0.0003,50
532912463,142,315,0.4508,1231,-0.0003,50
532966567,143,305,0.4689,1225,-0.0003,50
533021567,141,304,0.4638,1213,-0.0002,50
533075559,140,315,0.4444,1224,-0.0003,50
533129559,142,313,0.4537,1233,-0.0004,50
533185559,67,294,0.2279,1216,-0.0021,50
533239559,142,305,0.4656,1209,-0.002,50
533294559,142,317,0.4479,1229,-0.0022,50
533348559,141,313,0.4505,1224,-0.0022,50
533402559,140,299,0.4682,1214,-0.0019,55
533459361,138,313,0.4409,1223,-0.0016,55
533513559,141,309,0.4563,1231,-0.0015,55
533567559,138,299,0.4615,1220,-0.0017,55
533621565,141,301,0.4684,1210,-0.0018,55
533675564,136,311,0.4373,1220,-0.0016,60
533731567,143,311,0.4598,1231,-0.0016,60
533787559,136,292,0.4658,1212,-0.0017,60
533841559,140,311,0.4502,1218,-0.0017,60
533896561,143,315,0.454,1233,-0.0017,60
533950561,142,300,0.4733,1221,-0.0017,60
534004561,141,299,0.4716,1210,-0.0017,55
534061398,141,312,0.4519,1220,-0.0017,60
534115561,141,303,0.4653,1228,-0.0017,60
534170564,140,297,0.4714,1209,-0.0016,60
534224559,141,307,0.4593,1213,-0.0015,60
534278559,141,313,0.4505,1228,0.0003,60
534332559,143,303,0.4719,1227,0.0004,60
534388560,137,293,0.4676,1207,0.0006,55
534442569,140,311,0.4502,1219,0.0006,55
534496569,142,310,0.4581,1230,0.0005,55
534550569,142,299,0.4749,1221,0,50
534605561,146,304,0.4803,1209,-0.0003,50
534662361,140,318,0.4403,1230,-0.0001,50
534716559,143,306,0.4673,1225,-0.0001,50
534771559,142,295,0.4814,1208,-0.0005,50
534825592,141,307,0.4593,1218,-0.0004,50
534879593,142,305,0.4656,1221,-0.0004,50
534933559,3,159,0.0189,1219,0.0012,50
534989642,141,294,0.4796,1205,0.0011,45
535043560,141,310,0.4548,1221,0.0011,50
535098560,137,303,0.4521,1225,0.0011,45
535152561,70,292,0.2397,1209,0.0006,45
535206592,139,300,0.4633,1205,0.0006,45
535262393,143,312,0.4583,1225,0.0006,45
535317559,145,308,0.4708,1217,0.0006,45
535371561,143,298,0.4799,1206,0.0009,45
535425561,140,305,0.459,1215,0.0008,50
535480623,144,308,0.4675,1227,0.0008,50
535534592,143,293,0.4881,1213,0.0012,50
535591561,139,299,0.4649,1211,0.0013,50
535645559,143,304,0.4704,1224,0.0014,50
535699567,143,294,0.4864,1213,0.0013,50
535753559,142,294,0.483,1206,0.0008,45
535807934,147,235,0.6255,1073,-0.0007,45
535863395,143,309,0.4628,1223,-0.0006,45
535918560,140,289,0.4844,1208,-0.0007,45
535972592,143,296,0.4831,1202,-0.0008,45
536026587,140,305,0.459,1212,-0.0025,45
536080561,142,301,0.4718,1222,-0.0025,45
536134560,143,291,0.4914,1211,-0.0025,50
536190592,148,304,0.4868,1205,-0.0025,50
536245561,142,304,0.4671,1221,-0.0019,45
536299592,143,298,0.4799,1220,-0.0019,50
536354559,141,289,0.4879,1202,-0.0017,50
536408561,143,304,0.4704,1209,-0.0017,50
536462560,145,304,0.477,1223,-0.0017,50
536518477,144,289,0.4983,1204,-0.0014,50
536573561,143,297,0.4815,1205,-0.0012,50
536627559,146,306,0.4771,1218,-0.0013,45
536683559,64,296,0.2162,1216,-0.0049,45
536737561,139,293,0.4744,1203,-0.005,45
536793592,142,304,0.4671,1215,-0.0047,45
536847567,143,300,0.4767,1220,-0.0046,45
536901561,144,289,0.4983,1208,-0.0034,45
536955560,145,293,0.4949,1199,-0.0037,40
537009569,144,302,0.4768,1210,-0.0036,45
537063561,144,300,0.48,1219,-0.0036,45
537119565,143,287,0.4983,1204,-0.0037,45
537174130,142,227,0.6256,1066,-0.0041,45
537227594,145,306,0.4739,1216,-0.0041,50
537281592,156,298,0.5235,1223,-0.004,50
537336559,144,286,0.5035,1199,-0.004,45
537393363,143,303,0.4719,1214,-0.004,45
537447597,144,300,0.48,1222,-0.004,45
537501561,137,282,0.4858,1211,-0.0039,45
537555560,143,297,0.4815,1204,-0.0039,45
537609592,146,307,0.4756,1216,-0.0041,45
537663559,146,305,0.4787,1224,-0.0041,45
537719559,147,290,0.5069,1207,-0.0038,50
537773559,145,297,0.4882,1201,0.0001,50
537828325,146,307,0.4756,1218,0.0001,50
537882560,145,296,0.4899,1221,-0.0002,50
537936592,143,288,0.4965,1203,-0.0004,55
537990561,145,296,0.4899,1201,-0.0003,55
538046569,146,303,0.4818,1220,-0.0002,50
538101561,148,288,0.5139,1208,-0.0005,50
538155559,145,291,0.4983,1196,-0.0006,45
538210559,146,306,0.4771,1216,-0.0005,45
538264559,149,295,0.5051,1214,-0.0002,45
538320559,147,288,0.5104,1205,-0.0002,50
538374561,144,299,0.4816,1206,-0.0003,50
538428561,147,305,0.482,1220,-0.0003,50
538482561,143,298,0.4799,1222,-0.0003,50
538536561,148,291,0.5086,1206,-0.0001,45
538591226,144,296,0.4865,1204,-0.0001,45
538647560,148,306,0.4837,1222,-0.0001,45
538702567,151,289,0.5225,1205,0.0003,45
538756559,146,294,0.4966,1201,0.0005,45
538810559,146,303,0.4818,1215,0.0002,45
538865559,147,299,0.4916,1222,0.0003,45
538921561,149,283,0.5265,1202,-0.0005,40
538976561,145,301,0.4817,1207,-0.0004,40
539030561,149,302,0.4934,1222,-0.0003,40
539085626,146,287,0.5087,1208,-0.0005,45
539139559,147,296,0.4966,1202,-0.0006,45
539193559,144,305,0.4721,1216,-0.0003,45
539249559,148,300,0.4933,1221,-0.0003,45
539304273,145,291,0.4983,1205,-0.0004,50
539358567,146,300,0.4867,1206,-0.0004,45
539412569,148,304,0.4868,1221,-0.0003,45
539468610,151,292,0.5171,1209,-0.0003,45
539524561,148,296,0.5,1202,-0.0003,45
539578561,149,305,0.4885,1218,-0.0002,45
539632559,151,301,0.5017,1220,-0.0003,45
539687559,147,286,0.514,1201,-0.0001,50
539741559,148,295,0.5017,1202,0.0001,50
539795559,148,299,0.495,1211,-0.0002,50
539851559,12,153,0.0784,1211,-0.0049,50
539905561,146,292,0.5,1202,-0.0047,45
539959578,148,302,0.4901,1210,-0.0047,45
540013561,147,303,0.4851,1222,-0.0041,45
540068217,150,292,0.5137,1213,-0.0045,45
540124369,148,296,0.5,1202,-0.0046,45
540179567,148,307,0.4821,1222,-0.0043,45
540233559,150,296,0.5068,1220,-0.0044,45
540287559,148,293,0.5051,1205,-0.0047,40
540342559,147,301,0.4884,1210,-0.0046,40
540396561,150,302,0.4967,1220,-0.0046,40
540452561,150,288,0.5208,1206,-0.0047,40
540506561,147,292,0.5034,1198,-0.0047,40
540560561,147,299,0.4916,1211,-0.0047,40
540615561,149,294,0.5068,1213,-0.0047,40
540669559,148,285,0.5193,1203,-0.0046,40
540723625,150,292,0.5137,1197,-0.0045,40
540779559,149,301,0.495,1217,-0.0047,40
540835284,152,287,0.5296,1208,-0.0044,40
540889569,149,291,0.512,1198,-0.0043,40
540944561,145,303,0.4785,1214,0.0002,40
540998561,149,297,0.5017,1221,0.0003,40
541054561,148,284,0.5211,1201,0.0007,45
541108561,149,296,0.5034,1202,0.0004,45
541162559,151,304,0.4967,1217,0.0007,45
541216559,151,296,0.5101,1220,0.0006,45
541270559,153,293,0.5222,1205,0.0002,45
541324559,150,297,0.5051,1203,0.0002,50
541380561,5,158,0.0316,1221,0.0034,50
541434561,151,289,0.5225,1206,0.0032,45
541488561,149,289,0.5156,1200,0.0031,45
541542561,152,293,0.5188,1197,0.0031,45
541596560,151,300,0.5033,1218,0.0031,45
541652363,149,288,0.5174,1205,0.0032,45
541707567,150,293,0.5119,1200,0.0032,45
541761559,148,302,0.4901,1215,0.0031,45
541815559,150,296,0.5068,1219,0.003,45
541870561,150,285,0.5263,1202,0.0032,50
541924561,150,294,0.5102,1201,0.0031,50
541980561,155,308,0.5032,1220,0.003,45
542034561,151,292,0.5171,1212,0.0034,45
542088561,152,292,0.5205,1202,0.0037,50
542143559,151,303,0.4983,1211,0.0033,45
542197559,152,298,0.5101,1222,0.0032,45
542251559,153,293,0.5222,1214,0.0029,45
542309325,151,299,0.505,1207,0.003,45
542364251,150,303,0.495,1221,0.0032,45
542419569,150,286,0.5245,1206,0.0031,45
542473560,153,294,0.5204,1200,-0.0002,45
542527561,152,304,0.5,1214,-0.0001,45
542583561,68,299,0.2274,1218,0.001,40
542637559,151,289,0.5225,1203,0.001,40
542692559,150,299,0.5017,1207,0.001,40
542746559,152,301,0.505,1219,0.001,45
542800559,153,295,0.5186,1218,0.001,45
542855559,152,289,0.526,1202,0.0011,45
542911559,153,302,0.5066,1217,0.0011,45
542965559,155,300,0.5167,1222,0.001,45
543019559,153,286,0.535,1208,0.0012,50
543074392,153,293,0.5222,1196,0.0014,45
543128560,153,306,0.5,1219,0.0012,45
543185559,155,294,0.5272,1210,0.0013,45
543239559,152,293,0.5188,1200,0.0016,45
543294559,147,304,0.4836,1214,0.002,45
543348559,153,298,0.5134,1221,0.0021,45
543402559,148,287,0.5157,1206,0.002,50
543457559,152,293,0.5188,1200,0.0017,55
543513559,156,304,0.5132,1220,0.0018,55
543568559,154,290,0.531,1210,0.0018,55
543622559,153,293,0.5222,1200,0.0017,55
543676559,152,301,0.505,1209,0.0006,55
543730559,155,299,0.5184,1221,0.0006,55
543787451,157,287,0.547,1201,0.0006,55
543841567,153,296,0.5169,1203,0.0006,55
543896578,153,302,0.5066,1212,0.0006,50
543950561,157,299,0.5251,1221,0.0006,50
544004561,152,292,0.5205,1206,0.0006,45
544059596,152,300,0.5067,1208,0.0006,45
544115561,152,301,0.505,1223,0.0003,45
544170559,154,286,0.5385,1205,0.0005,45
544224559,153,294,0.5204,1200,0.0007,45
544278559,154,304,0.5066,1217,0.0004,45
544333559,153,296,0.5169,1219,0.0004,45
544389561,153,286,0.535,1200,-0.0003,40
544443561,154,301,0.5116,1209,-0.0003,40
544497561,154,301,0.5116,1222,-0.0002,40
544552569,155,287,0.5401,1210,-0.0005,40
544606569,154,291,0.5292,1195,-0.0006,40
544661561,153,307,0.4984,1217,-0.0004,40
544717559,158,296,0.5338,1219,-0.0004,40
544772559,154,292,0.5274,1203,-0.0005,35
544826559,152,302,0.5033,1210,-0.0005,35
544880561,157,304,0.5164,1223,-0.0005,40
544935561,157,294,0.534,1216,-0.0004,40
544991561,155,296,0.5236,1206,-0.0004,40
545045561,157,308,0.5097,1220,-0.0005,40
545099561,155,301,0.515,1224,-0.0005,40
545153559,155,300,0.5167,1209,-0.0004,45
545207559,155,295,0.5254,1202,-0.0003,50
545261559,154,305,0.5049,1216,-0.0006,50
545318567,158,295,0.5356,1215,-0.0004,50
545373569,156,292,0.5342,1203,-0.0001,45
545427561,155,301,0.515,1208,-0.0001,45
545481562,156,304,0.5132,1225,0.0002,45
545537562,153,289,0.5294,1208,0,45
545593561,153,302,0.5066,1213,0.0001,45
545648559,154,305,0.5049,1224,0.0004,45
545703559,156,291,0.5361,1212,0.0003,45
545758559,151,297,0.5084,1206,0.0003,45
545812559,158,309,0.5113,1222,0.0004,50
545867561,151,294,0.5136,1203,0.0004,50
545923561,156,291,0.5361,1202,0.0004,50
545978918,156,232,0.6724,1069,0.0003,50
546032569,157,302,0.5199,1225,0.0002,55
546087569,158,287,0.5505,1209,0.0003,55
546141559,156,298,0.5235,1206,0.0004,50
546196559,158,308,0.513,1222,0.0003,50
546250559,157,297,0.5286,1218,0.0004,45
546304559,157,292,0.5377,1207,0.0005,50
546359579,153,301,0.5083,1208,0.0006,50
546413561,159,307,0.5179,1223,0.0004,55
546467561,160,301,0.5316,1225,0.0003,55
546524561,156,291,0.5361,1207,0.0006,60
546578561,156,309,0.5049,1221,0.0007,60
546632559,158,304,0.5197,1227,0.0009,60
546686559,158,293,0.5392,1214,0.0005,65
546740687,158,297,0.532,1203,0.0002,65
546797369,158,309,0.5113,1222,0.0004,60
546852559,160,294,0.5442,1214,0.0002,60
546906569,155,291,0.5326,1204,0.0001,55
546961569,153,304,0.5033,1216,0.0001,55
547015561,157,299,0.5251,1221,0.0002,55
547069561,158,290,0.5448,1207,0.0002,55
547125559,162,301,0.5382,1204,0.0003,55
547179559,155,300,0.5167,1221,0.0002,55
547234559,158,300,0.5267,1220,0.0002,55
547288559,155,292,0.5308,1206,0.0003,55
547342559,156,301,0.5183,1207,0.0002,55
547396561,153,308,0.4968,1221,-0.0001,55
547453266,159,294,0.5408,1213,0.0002,50
547507569,159,300,0.53,1206,0.0003,50
547561569,156,309,0.5049,1219,0,45
547615560,160,304,0.5263,1226,-0.0001,45
547669559,160,295,0.5424,1214,-0.0007,40
547725559,159,293,0.5427,1204,-0.001,40
547779559,158,308,0.513,1223,-0.0007,45
547833559,158,299,0.5284,1222,-0.0006,45
547888561,154,285,0.5404,1200,-0.0009,50
547942561,159,299,0.5318,1205,-0.0008,50
547996561,157,307,0.5114,1220,-0.0007,45
548052561,18,154,0.1169,1214,0.0008,45
548106561,155,294,0.5272,1203,0.0008,45
548160559,157,304,0.5164,1211,0.0008,45
548214559,156,307,0.5081,1225,0.0008,45
548268589,160,297,0.5387,1220,0.0008,40
548324369,157,294,0.534,1206,0.0008,35
548379569,157,310,0.5065,1222,0.0007,40
548433561,161,305,0.5279,1228,0.0008,40
548487561,158,293,0.5392,1211,0.0011,45
548542561,158,301,0.5249,1206,0.001,45
548596561,158,308,0.513,1222,0.0008,40
548652559,162,296,0.5473,1217,0.0013,40
548706559,158,292,0.5411,1202,0.0015,40
548760559,157,303,0.5182,1212,0.0019,40
548815559,156,305,0.5115,1226,0.0023,40
548869561,161,294,0.5476,1215,0.0019,35
548923561,158,297,0.532,1206,0.0019,35
548979561,160,310,0.5161,1222,0.0021,35
549034569,154,299,0.5151,1223,0.0022,30
549088569,159,293,0.5427,1210,0.002,35
549143561,159,303,0.5248,1212,0.0005,35
549197559,160,309,0.5178,1225,0.0005,30
549253559,163,297,0.5488,1215,0.0005,35
549307559,159,298,0.5336,1204,0.0005,35
549361559,157,307,0.5114,1216,0.0004,35
549416561,162,305,0.5311,1224,0.0004,35
549470561,159,288,0.5521,1211,0.0007,35
549524561,158,293,0.5392,1197,0.0007,35
549580561,160,307,0.5212,1221,0.0006,35
549634559,157,298,0.5268,1223,0.0006,35
549688559,159,292,0.5445,1207,0.001,40
549742559,155,299,0.5184,1206,0.0006,40
549796593,160,309,0.5178,1222,0.0003,35
549852567,161,300,0.5367,1219,0,35
549907569,159,296,0.5372,1205,-0.0003,40
549961561,159,308,0.5162,1217,0,40
550015561,159,306,0.5196,1227,0.0001,40
550070561,159,292,0.5445,1213,-0.0001,45
550124559,160,298,0.5369,1204,-0.0002,45
550180559,162,311,0.5209,1221,-0.0001,45
550234559,159,298,0.5336,1222,-0.0002,45
550288559,157,287,0.547,1206,-0.0002,50
550342559,157,294,0.534,1195,-0.0002,45
550396560,159,307,0.5179,1219,-0.0002,45
550452394,162,297,0.5455,1217,-0.0002,45
550506559,158,292,0.5411,1204,-0.0001,45
550561592,154,305,0.5049,1213,-0.0004,45
550615593,160,302,0.5298,1224,-0.0004,45
550669559,157,294,0.534,1218,-0.0003,45
550723594,159,295,0.539,1205,-0.0002,50
550779593,158,306,0.5163,1219,-0.0005,50
550833592,160,304,0.5263,1227,-0.0004,50
550888559,158,291,0.543,1211,-0.0001,55
550942559,160,299,0.5351,1205,0,55
550996567,161,309,0.521,1220,0.0002,50
551051559,160,301,0.5316,1223,0,50
551107559,151,290,0.5207,1203,0,50
551161559,158,291,0.543,1205,0,50
551215594,160,303,0.5281,1221,0.0001,50
551269748,159,289,0.5502,1208,-0.0001,50
551323594,159,293,0.5427,1204,-0.0001,50
551379592,153,306,0.5,1218,0,50
551433592,159,301,0.5282,1224,0,50
551489560,158,290,0.5448,1208,0,55
551543560,157,299,0.5251,1207,-0.0001,55
551597960,161,230,0.7,1067,0.0005,55
551651559,161,303,0.5314,1226,0.0007,50
551708559,158,289,0.5467,1206,0.0008,50
551762592,161,308,0.5227,1219,0.0007,50
551816560,162,306,0.5294,1227,0.0006,50
551870561,162,295,0.5492,1217,0.001,50
551925284,161,295,0.5458,1206,0.0012,45
551981594,158,308,0.513,1216,0.0008,45
552035592,172,300,0.5733,1222,0.0003,45
552092559,154,289,0.5329,1205,0.0001,40
552146594,161,310,0.5194,1221,0.0002,45
552200592,161,305,0.5279,1226,0.0002,45
552254559,160,292,0.5479,1213,0.0001,45
552310593,157,300,0.5233,1209,0.0002,45
552364592,161,308,0.5227,1225,0.0003,45
552418591,161,301,0.5349,1223,0.0003,45
552472559,160,293,0.5461,1209,0.0002,45
552526559,159,300,0.53,1208,0.0002,45
552582361,161,312,0.516,1226,0.0002,45
552636594,167,302,0.553,1220,0.0003,45
552690592,161,298,0.5403,1206,-0.0003,40
552744591,159,301,0.5282,1211,-0.0003,40
552798591,162,308,0.526,1227,-0.0005,35
552852586,160,299,0.5351,1220,-0.0004,35
552908561,161,294,0.5476,1205,-0.0002,40
552963561,160,309,0.5178,1218,-0.0006,40
553017592,159,302,0.5265,1225,-0.0008,40
553071561,161,302,0.5331,1212,-0.0005,45
553125566,163,299,0.5452,1206,-0.0001,45
553179592,162,309,0.5243,1219,0,45
553235559,22,161,0.1366,1225,0.0043,45
553289559,160,295,0.5424,1211,0.0042,45
553344592,162,307,0.5277,1213,0.0043,40
553401561,163,310,0.5258,1228,0.0043,40
553455561,164,298,0.5503,1212,0.0042,40
553511592,160,305,0.5246,1215,0.0042,40
553566559,156,300,0.52,1227,0.0043,40
553621559,162,290,0.5586,1206,0.0043,40
553675558,161,298,0.5403,1206,0.0043,40
553729558,158,307,0.5147,1217,0.0042,40
553784558,163,305,0.5344,1226,0.0042,40
553840558,158,295,0.5356,1206,0.0042,45
553895560,152,305,0.4984,1215,0.004,45
553949560,157,305,0.5148,1225,0.0038,45
554004559,162,294,0.551,1214,0.0039,45
554058568,161,295,0.5458,1207,0.0042,40
554114560,162,313,0.5176,1224,0.0041,40
554168558,163,303,0.538,1226,0.0042,40
554223558,163,294,0.5544,1210,0.004,40
554277558,159,300,0.53,1212,0.0039,40
554331558,163,311,0.5241,1226,-0.0004,40
554386560,161,296,0.5439,1221,-0.0004,40
554442560,161,296,0.5439,1200,-0.0006,45
554497560,164,313,0.524,1223,-0.0006,45
554551560,159,302,0.5265,1226,-0.0004,45
554605560,163,295,0.5525,1211,-0.0005,50
554659581,158,299,0.5284,1205,-0.0006,50
554716455,158,313,0.5048,1228,-0.0005,50
554770566,159,293,0.5427,1218,-0.0005,50
554825558,162,298,0.5436,1208,-0.0005,50
554879562,162,312,0.5192,1220,-0.0005,50
554933560,162,305,0.5311,1228,-0.0005,50
554988560,162,295,0.5492,1215,-0.0002,50
555044560,162,303,0.5347,1211,0,50
555099560,164,309,0.5307,1229,-0.0002,50
555153558,164,308,0.5325,1215,-0.0004,50
555207558,160,295,0.5424,1206,-0.0001,50
555262594,159,302,0.5265,1204,-0.0002,50
555318558,161,304,0.5296,1224,0.0001,55
555372560,159,294,0.5408,1210,0,55
555426560,161,298,0.5403,1203,-0.0002,55
555481568,159,307,0.5179,1222,0.0001,50
555535568,161,300,0.5367,1225,0.0001,50
555590568,161,290,0.5552,1207,-0.0001,50
555646558,162,309,0.5243,1218,-0.0001,50
555701558,161,304,0.5296,1227,0,50
555755558,162,292,0.5548,1211,0,55
555809558,160,299,0.5351,1207,-0.0001,55
555864558,164,315,0.5206,1225,-0.0001,50
555920560,164,297,0.5522,1220,-0.0001,50
555975560,161,295,0.5458,1201,0,45
556029560,161,309,0.521,1217,0,45
556083704,162,304,0.5329,1227,-0.0001,50
556137558,162,294,0.551,1214,0,50
556192232,158,294,0.5374,1204,0.0001,45
556248566,161,309,0.521,1222,-0.0001,45
556303574,160,297,0.5387,1219,-0.0001,45
556357558,160,295,0.5424,1206,0.0001,50
556411558,159,301,0.5282,1208,0.0001,50
556466558,162,308,0.526,1226,0.0003,50
556522558,166,291,0.5704,1210,0,50
556576558,161,298,0.5403,1204,-0.0002,45
556630558,163,312,0.5224,1221,-0.0001,45
556684558,163,304,0.5362,1229,0,45
556739558,162,289,0.5606,1211,-0.0002,45
556793558,162,298,0.5436,1202,-0.0002,45
556849558,163,314,0.5191,1227,-0.0001,45
556903570,164,301,0.5449,1223,-0.0001,45
556958568,161,298,0.5403,1206,-0.0001,45
557012568,156,307,0.5081,1213,-0.0002,45
557068568,161,307,0.5244,1228,-0.0003,45
557124558,161,290,0.5552,1207,-0.0001,45
557179558,159,305,0.5213,1215,-0.0002,45
557233558,162,305,0.5311,1225,-0.0004,50
557288558,163,294,0.5544,1214,-0.0002,50
557343558,160,297,0.5387,1206,0,50
557397560,163,310,0.5258,1221,-0.0002,45
557454560,162,293,0.5529,1218,0,45
557508560,162,298,0.5436,1204,-0.0002,45
557563560,161,310,0.5194,1221,-0.0002,45
557618899,162,224,0.7232,1065,-0.0019,45
557672566,162,296,0.5473,1215,-0.002,45
557728566,159,302,0.5265,1212,-0.002,45
557782558,162,308,0.526,1224,-0.0019,40
557836990,160,221,0.724,1066,-0.0028,40
557891590,162,295,0.5492,1207,-0.0028,40
557945560,158,303,0.5215,1212,-0.0028,40
557999560,162,307,0.5277,1226,-0.0028,45
558055560,161,293,0.5495,1213,-0.0028,45
558109560,161,299,0.5385,1206,-0.0027,40
558164558,162,311,0.5209,1221,-0.0027,40
558218558,161,302,0.5331,1226,-0.0028,40
558272558,162,293,0.5529,1214,-0.0026,40
558328360,162,300,0.54,1205,-0.0026,40
558383440,162,309,0.5243,1228,-0.0029,40
558437574,163,294,0.5544,1211,-0.0027,40
558492631,164,300,0.5467,1208,-0.0024,40
558546560,157,309,0.5081,1217,-0.003,35
558600560,162,306,0.5294,1225,-0.0028,35
558656558,156,287,0.5436,1208,-0.0032,40
558710558,161,298,0.5403,1204,-0.0011,40
558765558,162,308,0.526,1223,-0.0009,40
558819558,162,302,0.5364,1223,-0.001,40
558873560,163,294,0.5544,1208,-0.0012,45
558930362,160,306,0.5229,1218,-0.0001,45
558984560,161,305,0.5279,1226,0,45
559038560,161,294,0.5476,1214,-0.0001,45
559092560,162,295,0.5492,1207,-0.0001,50
559147204,161,307,0.5244,1214,-0.0001,50
559201566,162,305,0.5311,1227,-0.0001,50
559258707,160,289,0.5536,1209,0,50
559312558,162,306,0.5294,1214,0,50
559367560,157,310,0.5065,1228,-0.0003,50
559421560,163,297,0.5488,1218,-0.0003,50
559475560,159,298,0.5336,1206,-0.0002,50
559532362,162,311,0.5209,1223,-0.0006,50
559586560,164,301,0.5449,1224,-0.0006,50
559641558,162,292,0.5548,1206,0.0001,55
559695558,161,304,0.5296,1212,0.0001,55
559749558,162,306,0.5294,1224,0.0003,55
559803558,163,301,0.5415,1223,0.0003,55
559859731,158,292,0.5411,1207,0.0001,50
559914568,163,308,0.5292,1223,0.0002,50
559969568,164,303,0.5413,1221,0.0003,50
560023560,162,294,0.551,1210,0.0001,50
560077561,165,302,0.5464,1208,0,50
560134360,162,314,0.5159,1229,0.0001,45
560188558,165,297,0.5556,1219,0.0001,45
560243558,162,301,0.5382,1210,0.0001,40
560297558,162,314,0.5159,1225,0.0001,40
560351558,162,308,0.526,1231,0,45
560405560,163,297,0.5488,1216,0.0001,45
560461560,160,300,0.5333,1209,0.0003,45
560515560,163,310,0.5258,1225,0.0001,45
560569560,164,305,0.5377,1228,0.0001,45
560624449,166,299,0.5552,1211,0.0005,45
560678566,162,305,0.5311,1212,0.0003,45
560733566,164,309,0.5307,1229,0,40
560789558,162,293,0.5529,1208,-0.0004,40
560844558,162,303,0.5347,1211,-0.0004,40
560898560,161,313,0.5144,1227,-0.0001,40
560952560,164,306,0.5359,1230,-0.0001,40
561007560,163,293,0.5563,1213,-0.0003,40
561063560,161,311,0.5177,1221,-0.0001,40
561118558,161,308,0.5227,1232,0,45
561172558,163,298,0.547,1217,0,45
561226558,164,301,0.5449,1208,-0.0001,45
561280558,162,309,0.5243,1219,0,45
561334558,163,307,0.5309,1228,0,45
561391568,162,296,0.5473,1209,0,45
561446568,163,303,0.538,1216,0.0001,45
561500559,164,313,0.524,1234,0,45
561554560,163,296,0.5507,1222,0.0001,45
561609560,162,294,0.551,1202,0.0003,45
561665558,84,313,0.2684,1226,-0.0024,45
561720558,162,305,0.5311,1227,-0.0026,50
561774558,163,299,0.5452,1213,-0.0024,50
561828558,161,305,0.5279,1212,-0.0025,50
561882560,166,315,0.527,1228,-0.0021,55
561936560,162,307,0.5277,1231,-0.002,55
561992560,163,300,0.5433,1209,-0.0024,55
562046560,163,309,0.5275,1216,-0.0023,55
562101309,165,310,0.5323,1227,-0.0021,55
562155752,164,296,0.5541,1216,-0.0023,55
562211566,162,299,0.5418,1208,-0.0024,55
562267558,165,312,0.5288,1228,-0.0024,55
562322566,165,293,0.5631,1209,-0.0024,55
562376560,163,300,0.5433,1207,-0.0024,50
562430844,163,306,0.5327,1210,-0.0024,50
562484560,163,310,0.5258,1230,-0.0025,50
562538560,164,300,0.5467,1221,-0.0024,50
562595560,163,304,0.5362,1211,-0.0024,50
562650558,164,314,0.5223,1229,-0.0025,45
562704558,164,302,0.543,1226,-0.0026,45
562758558,163,301,0.5415,1213,0.0001,40
